ts,order_id,symbol_id,side,quantity,type,tif,limit_price,state
2024-01-29T21:00:00Z,roc_flatten_AAPL,1,SELL,50,MKT,DAY,,NEW
2024-01-29T21:00:00Z,roc_flatten_MSFT,2,SELL,50,MKT,DAY,,NEW
2024-01-30T21:00:00Z,roc_flatten_GOOGL,3,SELL,50,MKT,DAY,,NEW
2024-02-01T21:00:00Z,roc_short_GOOGL,3,SELL,50,MKT,DAY,,NEW
2024-02-02T21:00:00Z,roc_short_AAPL,1,SELL,50,MKT,DAY,,NEW
2024-02-02T21:00:00Z,roc_short_MSFT,2,SELL,50,MKT,DAY,,NEW
2024-02-08T21:00:00Z,roc_flatten_AAPL,1,BUY,50,MKT,DAY,,NEW
2024-02-08T21:00:00Z,roc_flatten_MSFT,2,BUY,50,MKT,DAY,,NEW
2024-02-09T21:00:00Z,roc_flatten_GOOGL,3,BUY,50,MKT,DAY,,NEW
2024-02-13T21:00:00Z,roc_long_GOOGL,3,BUY,50,MKT,DAY,,NEW
2024-02-14T21:00:00Z,roc_long_AAPL,1,BUY,50,MKT,DAY,,NEW
2024-02-14T21:00:00Z,roc_long_MSFT,2,BUY,50,MKT,DAY,,NEW
